,Label,Example Picture,Description,Prevention,Treatment
0,Apple Scab,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Apple___Apple_scab/073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab%203286.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T143206Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=a12f567584206e185400de0914553a6aa75e0bb5bbbbe17ac2f19083fc4be23329b73817d5cdf09687aa44f3a1524bc9bd8e1744d398b87e8868ad9490a39f64f5955f403dce7ada319ff5847690fbf2485d77153b71308cce60d9ebca5ca66d6bb539e4f7d297f69e8b4a5b01744a53977f831ced5db7f8dd8fcfca527905b3085b4bcd42d7ca17fd96ad701b8e0758890854e57f2652ecc53c5258f2e30ff3efaffb61602fc5b35cf1c41e10aea9d5265216b55b35151de22a611a26ecc3e2a04616d8b1a44b5f27866ce5bbe5a23a8fc612e57b36bd26ec2e5d246a32c0ee6891ee1e5854eb2736444c735cba20ec9e549de85e7956ceb19b6dce1b5af496,"Apple scab, a fungal disease caused by Venturia inaequalis, wreaks havoc on apples and crabapples.
 The culprit survives harsh winters on fallen leaves, then releases airborne spores in spring that infect young leaves and fruit. 
These infections manifest as olive-green, velvety lesions that grow and turn black, distorting the fruit and causing premature leaf drop.
 While rarely fatal, apple scab significantly reduces fruit quality and weakens the tree.","Choose scab-resistant apple varieties when planting. 
Prune trees to improve air circulation and sunlight penetration. 
Rake and remove fallen leaves in the fall to reduce overwintering fungal spores. 
Apply fungicides as preventative sprays before bud break and during the growing season, especially during cool, wet weather.","If symptoms appear, fungicides can still be effective, but early intervention is crucial. 
Follow the instructions and timing recommendations on the specific fungicide product you choose. 
Remove and destroy severely infected fruits and leaves to prevent further spread."
1,Apple Black Rot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Apple___Black_rot/09baab32-8360-4251-9c84-a5ce6bfdfff1___JR_FrgE.S%202883.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240526%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240526T120404Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=0a73d769843a952dbf7e83f2ebee6ef98634a9eb71523a78c3f577f4dc80f4986292feba043b08829d1e9e572307eab5e223f3b957cc0033e823d88f050d69f563e471f7bd75330e300bb8e92b982ba30a1a0e2a07f61ad0a16de0866dd05014fcee4a9d6431738616548302db0400ba0c18bdf306184aeaeac70a44360b6a12e01b56b267c92b6459fd1cd14494f02f3b110dcc9755563bedd1655aab5486cf7689ac00fbbd8fc7a17638d223e5fcbdfd4e32f102628f8cf9e7ed79606c428cf9d89d1e158cf6709aea209e220e14e87afa263a0272e68be9d7bbc50b7b38ce9d7f7bfc08d4a6da5cbff889e0081e7057c3effa74a4038e1623baff48fc23c4,"Apple black rot, a fungal menace caused by Botryosphaeria obtusa, attacks various parts of the tree. Infected apples develop large, sunken brown patches that spread with concentric rings.
 These lesions can engulf the entire fruit, leaving behind a mummified husk.
 The fungus survives in these mummies and branch cankers, releasing spores during wet weather to infect leaves, causing 'frog-eye' spots, and initiating the cycle anew.
 While not always fatal, black rot significantly reduces fruit quality and weakens the tree.","Choose resistant varieties, prune trees for good air circulation, and remove fallen debris. 
Avoid wounding the fruits during harvest. 
Apply fungicides as preventative sprays before bud break and during the growing season.","Prune and remove infected branches during the dormant season. 
Fungicides can be applied, but timing is crucial for effectiveness. 
Dispose of infected fruits properly to prevent the spread of spores."
2,Cedar apple rust,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Apple___healthy/0199bffc-baee-499f-8e03-5dadb8b671be___RS_HL%208042.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T023841Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=08eccc87bac62c3ea736932ff7d6dba59cb80bfa0298364b05f9acfa27e020557bb6ad79a9e16bfc3c0edfe3ea6f58d91ca0059d91ccaccabf3915955912e19bbd4fc50037e74d7f5fa767cfc6fc39df2205c702d6f8cf8569c566a633906068f067589bbd890b0cb630167c0b8df8979229d924368e5c7ecbcbd4c03d2a41ceee5069c019fb41e46aa241a5139b42494e6cc310ec2fc1ed928fce440c142194177b4fad0c7af1ec847ea9dd90193905607690de6ad6f0f3d76c97103d7cf4bda81330b654c2bf9d057a7d7486ea7a49aafb6819bd12e120c8f4a6dd4aa939401948fa72d627f5314e77d792cf0ebcd2f6fd27fd44e423658092a5939ae592e5,"Cedar apple rust, caused by the fungus Gymnosporangium juniperi-virginianae, requires both juniper and apple trees to complete its life cycle. 
On apple trees, it manifests as yellow to orange leaf spots with orange, horn-like structures erupting underneath. 
These structures release spores that infect nearby junipers, causing the formation of round, brown galls. In spring, these galls erupt, releasing spores that re-infect apple trees, perpetuating the cycle. Though rarely fatal, the disease disfigures apples and weakens both trees.","Plant apple trees away from juniper trees (the alternate host for the fungus). 
Remove juniper trees in the vicinity of your orchard if possible. 
Apply fungicides during the early stages of leaf development.","Prune and remove infected branches during the dormant season. 
Fungicides may be applied, but timing is crucial for effectiveness. 
Dispose of infected plant parts properly to prevent the spread of spores."
3,Apple__healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Apple___healthy/0199bffc-baee-499f-8e03-5dadb8b671be___RS_HL%208042.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T023841Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=08eccc87bac62c3ea736932ff7d6dba59cb80bfa0298364b05f9acfa27e020557bb6ad79a9e16bfc3c0edfe3ea6f58d91ca0059d91ccaccabf3915955912e19bbd4fc50037e74d7f5fa767cfc6fc39df2205c702d6f8cf8569c566a633906068f067589bbd890b0cb630167c0b8df8979229d924368e5c7ecbcbd4c03d2a41ceee5069c019fb41e46aa241a5139b42494e6cc310ec2fc1ed928fce440c142194177b4fad0c7af1ec847ea9dd90193905607690de6ad6f0f3d76c97103d7cf4bda81330b654c2bf9d057a7d7486ea7a49aafb6819bd12e120c8f4a6dd4aa939401948fa72d627f5314e77d792cf0ebcd2f6fd27fd44e423658092a5939ae592e5,"Smooth, blemish-free skin with a bright, characteristic color for the variety.
Firm and free of any signs of decay, cracks, or insect damage.
Leaves are green and healthy-looking, without any signs of discoloration or distortion.","Maintain proper watering, fertilization, and pruning practices to promote overall tree health.
Monitor for any signs of pests or diseases and take appropriate action if necessary.
Regularly inspect your trees and promptly address any potential issues to prevent them from becoming severe.",
4,Blueberry healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Blueberry___healthy/0293e23d-2961-4271-9a6c-1a568d942887___RS_HL%205297.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T144500Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=5c5f2ed443b68ff867b41277b6bafc88ec0998bb1268869ff8b38f525bc95446f34dca26986495e088dfd1c3122ba9d7a5b1ad798e2d766f135fc420b1e6c1d62c879435dc3225cc0caeeb4a769f32aee11738777b7c685afe3b7c19a6b839ef86753e7e0f36db37a6602f48f841e2385292035c90402eae65e9f07a3b6b99dd6c99761bb16a41df71b03676ebe594ec1f8692a8b5f0e535778df7a03862d23faab5852ab40e1a54d3f040fb5aadb254509b719a58afc5df63e56db84237c1d4b084b17edaa167cebb5fd24b07d028b0212a3531fbb42dfdaf33fb20ac4655d75fae33f8781ba2850e07cf65cee9d36856d547a71a12bf34861d425faa419005,"Plump, round berries with a consistent, bright blue color. Covered in a light, whitish ""bloom"" that is characteristic of blueberries.Leaves are green and healthy-looking, without any signs of discoloration or distortion.","Maintain consistent moisture levels in the soil, avoiding both drought and overwatering.
Apply a balanced fertilizer specifically formulated for blueberries.
Prune lightly after harvest to remove dead or diseased branches and encourage new growth.
Monitor for common pests like blueberry maggots and implement integrated pest management strategies if necessary.",
5,Cherry_(including sour) Powdery mildew,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Cherry_%28including_sour%29___Powdery_mildew/063a1f13-313b-4ed5-bf9f-cc8b6ceff957___FREC_Pwd.M%204758.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T144627Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=95b7f73ab8256cde1234b4311f3381729650ef257c88e892672435de50f52b8c5120a626e2ada95926d29d008092dbb785caf75ae1e0ea1ccf86d0d326b37a54f666fbdd65cb3eed5e33366fc545b16c7c4ad99c25279a2c566dde12e0f1358b387b1423f0899aa79b92f8734e2ff14a1c1e84795a090ab54961da6d15da292457ffda31dca0541c9074bcac5f6796095e17988933e9ac8fbd81172c1796811bf5633f2c34c711950fb8d6fac01cad083d1b9bed856fbc11906964836eb54f6f3735d87fb789f8b99104e1a6dcfafb61c315ea2803d99e81e4eb97b19d53af4ab64d46d11fcc60b2a5acc3a40f5445079b0bd004f25422a2332a16377f146e34,"White, powdery fungal growth on the leaves, fruits, and stems.Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast.","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration.Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather.",
6,Cherry (including sour) healthy,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Cherry_%28including_sour%29___healthy/02d14b15-897d-4081-8953-e7d83189cff4___JR_HL%209723.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240528%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240528T222615Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=20b550ed589840b68763d3d00c03c85afead82d47bbaa54b5c53fa7d41b2f74e1e9ea41ec7bc388016586d2e216dc5f106eee9a3ec01f305d05b677f40c8c336a175ddd897ce05c01ce9f058745a7cfd4b54047ac0626fd3381b906f366f1869bdc12c63850b64cba5de43189f4ed620fddb41fd16ede419521aca78b2dd2b0ca9e13369f6aa8ed2c1ad0680f205e2496cd164176ced172bcfb19df774d07586a248bfde71377ae0102a793d45dcdf8d81e5d0bc8e6ac6818a5dbcbb4ee6ff0b44fbaefa95b89fe94176a9c687fffd5d6737b928ba2b8d688e61a7c59ed40be3e6af826cea082dd5d78a01de7c17995ec8075d955e52e60465c24a9f698a6c11,"White, powdery fungal growth on the leaves, fruits, and stems.Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast.","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration.Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather.",
7,Corn_(maize)Cercospora_leaf_spot Gray leaf_spot,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Corn_%28maize%29___Cercospora_leaf_spot%20Gray_leaf_spot/0157de0c-5b81-44a1-abe8-eecaa6f1261a___RS_GLSp%204287.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240526%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240526T120443Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=62203edf08892011c64143157aaf73c55736f02b22005fa68e01e8c78e847e6ce0be1efe072772a49d4b1f70026af7ca66062aeeae58b5c958dc2fde942cfe34bbc6d1cdec46e349a725ab7d512aff840b79af1722f5eb8771e232e94e1f0a93328dee4a377b02edd720a77daf0eb754a1bf1474475b0e09aef4cb7a7e0f22ba9392ad71305f52bd7ed966ad6c1e6dd4f02981d53e220461f6c664bb0fd5617817c8d33d97ca4a232edfe9ac5e5809f8f3e84bd1176afd3f9ce02ef9cb4601f90e32fe7aa93daa1a5b968e9825d4d3a6b5dd18af9a9deecfd0efb52938ee33be61142e73eca0783c9ef71d20e9af5bd2ddf0f0637fc295e5aa0983d580eb8e3e,"White, powdery fungal growth on the leaves, fruits, and stems. Infected leaves may become yellow and drop prematurely.Fruits may become stunted and develop a grayish cast","Choose powdery mildew-resistant cherry varieties when planting.Prune trees to improve air circulation and sunlight penetration. Apply fungicides as preventative sprays before bud break and during the growing season, especially during periods of cool, humid weather","Remove and destroy infected plant parts to prevent further spread.Apply fungicides specifically labeled for powdery mildew on cherries, following the instructions and timing recommendations on the product label."
8,Corn(maize)Common_rust,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Corn_%28maize%29___Common_rust_/RS_Rust%201584.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240527%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240527T164226Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=a9bcf81a6bb4b92eb698577d96b8535250b64671c60bb78e86a67fe009454758525bf9a6307b9d5769fe04066ef8182982ac44021d848f4654144d35535771cd599c2b4f4ee908d1c3c948f5982d3a806579afabb7c299c99365588ca63f14a8392a1ebed81c372b84b0abea65fb1ca65b36871c50f004b1bc74ff5b72fed28d72610ac51c958b75e9685483d98b8ebae04684f76eb65d34d21f86be685ae9ea25a083b5fa3ee18adc80c44a6a2c0e8f4b45400439094ba00cc7a332981a1243909df0424b915a5005596ed0a4a3f751bd8488af3d8a83c7a09feb4486750fb5d155eaf7d90ddf27e1c27103e564ac3523b4e9b0255773ed447791ae06091945,"Bright, characteristic red or yellow color, depending on the variety.Firm and plump, with no signs of shriveling, cracking, or insect damage.Leaves are green and healthy-looking, without any discoloration or distortion.","Choose disease-resistant cherry varieties when planting.Provide adequate sunlight and air circulation by pruning and spacing trees appropriately.Maintain good soil drainage to prevent fungal diseases.Water deeply and consistently, avoiding water stress.",
9,Corn(maize)Northern_Leaf_Blight,https://storage.googleapis.com/kagglesdsdata/datasets/277323/658267/color/Corn_%28maize%29___Northern_Leaf_Blight/03c4fb76-81ce-4430-9927-9df7aad2c9e3___RS_NLB%203602.JPG?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=databundle-worker-v2%40kaggle-161607.iam.gserviceaccount.com%2F20240527%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20240527T165209Z&X-Goog-Expires=345600&X-Goog-SignedHeaders=host&X-Goog-Signature=a135440e0778167fa7384f12e5ed42b6442022ed4c7bc647c07e82b6079e8f3a6c4037ccdc5f9e9b865c6009c1715e0e2636a02cb31f137251a5fd0c09078839a78d0aa3c54e6fb9be52e20b1fa538459790068dea457742f4f605bb56253594944c52c52065ca0148942e6e0f3fc10d660e796b02b02de9dee4db24bc53d9b5744025691e6af490a6228ddbff1ee98b02e6f784564ca8c0508850fe9ecba451bc34c3cc612e086c4dcc0b2bb8db2e0f86b8eb240671272e8bdbeddd8f38289bcd948f8e2bffde4cc638dfb8af1531c7152be38d336812a9a28e7adbbc37854769686544c18748cefdae628efc1aa33944d5f77dd4e4bb5acb04df95abfa8fef,"Small, circular to oval lesions on leaves, initially brown and later grayish-white, often with a reddish-brown border. Lesions may merge, causing leaves to turn yellow and drop prematurely.",Choose resistant corn varieties. Rotate crops with non-host plants like soybeans or wheat. Remove and destroy crop debris after harvest. Apply fungicides as preventative sprays if necessary.,"Fungicides can be applied, but timing is crucial for effectiveness. Severely infected plants should be removed and destroyed."
